Date,Day,Person,Core,Layer,Treatment,Weight_No_Top_Cap_g,time_capped,time_elapsed_hours,time_elapsed_minutes,time_sampled,EGM_Sample,CO2_ppm,Notes,ambient_air_ppm
3/29/2021,Monday,Emily,9,organic,2,44.77,14:54,1:16:00,76,16:10,27,805,7&7,
3/29/2021,Monday,Emily,9,mineral,2,47.85,14:54,1:18:00,78,16:12,28,545,9&7,
3/29/2021,Monday,Emily,14A,plant,2,43.06,14:55,1:19:00,79,16:14,29,640,7&7,
3/29/2021,Monday,Emily,14A,organic,2,40.51,14:55,1:21:00,81,16:16,30,514,8&7,
3/29/2021,Monday,Emily,16,plant,2,41.94,14:56,1:22:00,82,16:18,31,609,8&7,
3/29/2021,Monday,Emily,16,organic,2,45.12,14:56,1:23:00,83,16:19,32,526,8&7,
3/29/2021,Monday,Emily,16,mineral,2,44.03,14:56,1:25:00,85,16:21,33,454,"6&7, lab temp: 22.4C",439
,,,,,,,,,,,,,,
4/1/2021,Thursday,Jillian,1C,plant,1,42.15,12:26,1:00:00,60,13:26,1,551,"9&8, lab 21.5C",482
4/1/2021,Thursday,Jillian,1C,organic,1,42.58,12:27,1:03:00,63,13:30,2,392,8&8,
4/1/2021,Thursday,Jillian,1C,mineral,1,43.69,12:27,1:04:00,64,13:31,3,396,8&8,
4/1/2021,Thursday,Jillian,4B,plant,1,42.28,12:27,1:06:00,66,13:33,4,533,7&8,
4/1/2021,Thursday,Jillian,4B,organic top,1,46.18,12:28,1:08:00,68,13:36,5,490,8&8,
4/1/2021,Thursday,Jillian,4B,organic bottom,1,39.97,12:28,1:10:00,70,13:38,6,441,8&8,
4/1/2021,Thursday,Jillian,6B,plant,1,42.83,12:31,1:08:00,68,13:39,7,578,8&8,
4/1/2021,Thursday,Jillian,6B,organic,1,44.02,12:32,1:10:00,70,13:42,8,472,7&8,
4/1/2021,Thursday,Jillian,6B,mineral,1,47.76,12:32,1:12:00,72,13:44,9,390,7&7,
4/1/2021,Thursday,Jillian,10,plant,1,42.11,12:37,1:08:00,68,13:45,10,525,9&8,
4/1/2021,Thursday,Jillian,10,organic,1,44.24,12:37,1:11:00,71,13:48,11,423,7&7,
4/1/2021,Thursday,Jillian,13,plant,1,42.25,12:38,1:12:00,72,13:50,12,670,8&7,
4/1/2021,Thursday,Jillian,13,organic,1,44.91,12:38,1:14:00,74,13:52,13,417,8&8,
4/1/2021,Thursday,Jillian,13,mineral,1,46.13,12:39,1:16:00,76,13:55,14,426,7&7,
4/1/2021,Thursday,Jillian,15,plant,1,42.62,12:39,1:19:00,79,13:58,15,541,8&7,
4/1/2021,Thursday,Jillian,15,organic,1,44.89,12:39,1:21:00,81,14:00,16,557,8&8,
4/1/2021,Thursday,Jillian,3A,plant,2,41.54,12:46,1:17:00,77,14:03,17,750,8&8,
4/1/2021,Thursday,Jillian,3A ,organic,2,44.85,12:46,1:19:00,79,14:05,18,480,8&7,
